"Bubble",WATER,SPECIAL,40,100%,30-48,"Has a 10% chance to lower the target's Speed by 1 stage."
"Bubble Beam",WATER,SPECIAL,65,100%,20-32,"Has a 10% chance to lower the target's Speed by 1 stage."
"Bug Bite",BUG,PHYSICAL,60,100%,20-32,"If this move is successful and the user has not fainted, it steals the target's held Berry if it is holding one and eats it immediately, gaining its effects even if the user's item is being ignored. Items lost to this move cannot be regained with Recycle or the Harvest Ability."
"Bug Buzz",BUG,SPECIAL,90,100%,10-16,"Has a 10% chance to lower the target's Special Defense by 1 stage."
"Bulk Up",FIGHTING,STATUS,n/a,—,20-32,"Raises the user's Attack and Defense by 1 stage."
"Bulldoze",GROUND,PHYSICAL,60,100%,20-32,"Has a 100% chance to lower the target's Speed by 1 stage."
"Bullet Punch",STEEL,PHYSICAL,40,100%,30-48,"Usually moves first (priority +1)."
"Bullet Seed",GRASS,PHYSICAL,25,100%,30-48,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times."
"Burning Bulwark",FIRE,STATUS,n/a,—,10-16,"Nearly always moves first (priority +4)."
"Burning Jealousy",FIRE,SPECIAL,70,100%,5-8,"Has a 100% chance to burn the target if it had a stat stage raised this turn."
"Burn Up",FIRE,SPECIAL,130,100%,5-8,"Fails unless the user is a Fire type. If this move is successful and the user is not Terastallized, the user's Fire type becomes typeless as long as it remains active."
"Buzzy Buzz",ELECTRIC,SPECIAL,60,100%,20-32,"Has a 100% chance to paralyze the foe."
"Calm Mind",PSYCHIC,STATUS,n/a,—,20-32,"Raises the user's Special Attack and Special Defense by 1 stage."
"Camouflage",NORMAL,STATUS,n/a,—,20-32,"The user's type changes based on the battle terrain. Normal type on the regular Wi-Fi terrain, Electric type during Electric Terrain, Fairy type during Misty Terrain, Grass type during Grassy Terrain, and Psychic type during Psychic Terrain. Fails if the user's type cannot be changed or if the user is already purely that type."
"Captivate",NORMAL,STATUS,n/a,100%,20-32,"Lowers the target's Special Attack by 2 stages. The target is unaffected if both the user and the target are the same gender, or if either is genderless. Pokemon with the Oblivious Ability are immune."
"Catastropika",ELECTRIC,PHYSICAL,210,—,1,"[Z-Move] requiring Pikanium Z"
"Ceaseless Edge",DARK,PHYSICAL,65,90%,15-24,"If this move is successful, it sets up a hazard on the opposing side of the field, damaging each opposing Pokemon that switches in, unless it is a Flying-type Pokemon or has the Levitate Ability. A maximum of three layers may be set, and opponents lose 1/8 of their maximum HP with one layer, 1/6 of their maximum HP with two layers, and 1/4 of their maximum HP with three layers, all rounded down. Can be removed from the opposing side if any opposing Pokemon uses Mortal Spin, Rapid Spin, or Defog successfully, or is hit by Defog."
"Celebrate",NORMAL,STATUS,n/a,—,40-64,"No competitive use."
"Charge",ELECTRIC,STATUS,n/a,—,20-32,"Raises the user's Special Defense by 1 stage. The user's next Electric-type attack will have its power doubled; the effect ends when the user is no longer active, or after the user attempts to use any Electric-type move besides Charge, even if it is not successful."
"Charge Beam",ELECTRIC,SPECIAL,50,90%,10-16,"Has a 70% chance to raise the user's Special Attack by 1 stage."
"Charm",FAIRY,STATUS,n/a,100%,20-32,"Lowers the target's Attack by 2 stages."
"Chatter",FLYING,SPECIAL,65,100%,20-32,"Has a 100% chance to confuse the target."
"Chilling Water",WATER,SPECIAL,50,100%,20-32,"Has a 100% chance to lower the target's Attack by 1 stage."
"Chilly Reception",ICE,STATUS,n/a,—,10-16,"For 5 turns, the weather becomes Snow. The user switches out even if it is trapped and is replaced immediately by a selected party member. The user does not switch out if there are no unfainted party members."
"Chip Away",NORMAL,PHYSICAL,70,100%,20-32,"Ignores the target's stat stage changes, including evasiveness."
"Chloroblast",GRASS,SPECIAL,150,95%,5-8,"If this move is successful, the user loses 1/2 of its maximum HP, rounded up, unless the user has the Magic Guard Ability."
"Circle Throw",FIGHTING,PHYSICAL,60,90%,10-16,"Nearly always moves last (priority −6)."
"Clamp",WATER,PHYSICAL,35,85%,15-24,"Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Shed Tail, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Mortal Spin, Rapid Spin, or Substitute successfully. This effect is not stackable or reset by using this or another binding move."
"Clanging Scales",DRAGON,SPECIAL,110,100%,5-8,"Lowers the user's Defense by 1 stage."
"Clangorous Soul",DRAGON,STATUS,n/a,100%,5-8,"Raises the user's Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage in exchange for the user losing 33% of its maximum HP, rounded down. Fails if the user would faint or if its Attack, Defense, Special Attack, Special Defense, and Speed stat stages would not change."
"Clangorous Soulblaze",DRAGON,SPECIAL,185,—,1,"[Z-Move] requiring Kommonium Z"
"Clear Smog",POISON,SPECIAL,50,—,15-24,"Resets all of the target's stat stages to 0."
"Close Combat",FIGHTING,PHYSICAL,120,100%,5-8,"Lowers the user's Defense and Special Defense by 1 stage."
"Coaching",FIGHTING,STATUS,n/a,—,10-16,"Raises the target's Attack and Defense by 1 stage. Fails if there is no ally adjacent to the user."
"Coil",POISON,STATUS,n/a,—,20-32,"Raises the user's Attack, Defense, and accuracy by 1 stage."
"Collision Course",FIGHTING,PHYSICAL,100,100%,5-8,"Damage is multiplied by 1.3333 if this move is super effective against the target."
"Combat Torque",FIGHTING,PHYSICAL,100,100%,10-16,"Has a 30% chance to paralyze the target."
"Comet Punch",NORMAL,PHYSICAL,18,85%,15-24,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times."
"Comeuppance",DARK,PHYSICAL,—,100%,10-16,"Deals damage to the last opposing Pokemon to hit the user with a physical or special attack this turn equal to 1.5 times the HP lost by the user from that attack, rounded down. If the user did not lose HP from that attack, this move deals 1 HP of damage instead. If that opposing Pokemon's position is no longer in use and there is another opposing Pokemon on the field, the damage is done to it instead. Only the last hit of a multi-hit attack is counted. Fails if the user was not hit by an opposing Pokemon's physical or special attack this turn."
"Confide",NORMAL,STATUS,n/a,—,20-32,"Lowers the target's Special Attack by 1 stage."
"Confuse Ray",GHOST,STATUS,n/a,100%,10-16,"Causes the target to become confused."
"Confusion",PSYCHIC,SPECIAL,50,100%,25-40,"Has a 10% chance to confuse the target."
"Constrict",NORMAL,PHYSICAL,10,100%,35-56,"Has a 10% chance to lower the target's Speed by 1 stage."
"Continental Crush",ROCK,PHYSICAL,1,—,1,"[Z-Move] requiring Rockium Z"
"Conversion",NORMAL,STATUS,n/a,—,30-48,"The user's type changes to match the original type of the move in its first move slot. Fails if the user cannot change its type, or if the type is one of the user's current types."
"Conversion 2",NORMAL,STATUS,n/a,—,30-48,"The user's type changes to match a type that resists or is immune to the type of the last move used by the target, but not either of its current types. The determined type of the move is used rather than the original type. Fails if the target has not made a move, if the user cannot change its type, or if this move would only be able to select one of the user's current types."
"Copycat",NORMAL,STATUS,n/a,—,20-32,"The user uses the last move used by any Pokemon, including itself. Fails if no move has been used, or if the last move used was Assist, Baneful Bunker, Beak Blast, Behemoth Bash, Behemoth Blade, Belch, Bestow, Blazing Torque, Celebrate, Chatter, Circle Throw, Combat Torque, Copycat, Counter, Covet, Destiny Bond, Detect, Dragon Tail, Dynamax Cannon, Endure, Feint, Focus Punch, Follow Me, Helping Hand, Hold Hands, King's Shield, Magical Torque, Mat Block, Me First, Metronome, Mimic, Mirror Move, Nature Power, Noxious Torque, Protect, Rage Powder, Roar, Shell Trap, Sketch, Sleep Talk, Snatch, Spiky Shield, Spotlight, Struggle, Switcheroo, Tera Starstorm, Thief, Transform, Trick, Whirlwind, or Wicked Torque."
"Core Enforcer",DRAGON,SPECIAL,100,100%,10-16,"If the user moves after the target, the target's Ability is rendered ineffective as long as it remains active. If the target uses Baton Pass, the replacement will remain under this effect. If the target's Ability is As One, Battle Bond, Comatose, Disguise, Gulp Missile, Ice Face, Multitype, Power Construct, RKS System, Schooling, Shields Down, Stance Change, Tera Shift, Zen Mode, or Zero to Hero, this effect does not happen, and receiving the effect through Baton Pass ends the effect immediately."
"Corkscrew Crash",STEEL,PHYSICAL,1,—,1,"[Z-Move] requiring Steelium Z"
"Corrosive Gas",POISON,STATUS,n/a,100%,40-64,"The target loses its held item. This move cannot cause Pokemon with the Sticky Hold Ability to lose their held item or cause a Kyogre, a Groudon, a Giratina, an Arceus, a Genesect, a Silvally, a Zacian, or a Zamazenta to lose their Blue Orb, Red Orb, Griseous Orb, Plate, Drive, Memory, Rusted Sword, or Rusted Shield respectively. Items lost to this move cannot be regained with Recycle or the Harvest Ability."
"Cosmic Power",PSYCHIC,STATUS,n/a,—,20-32,"Raises the user's Defense and Special Defense by 1 stage."
"Cotton Guard",GRASS,STATUS,n/a,—,10-16,"Raises the user's Defense by 3 stages."
"Cotton Spore",GRASS,STATUS,n/a,100%,40-64,"Lowers the target's Speed by 2 stages."
"Counter",FIGHTING,PHYSICAL,—,100%,20-32,"Nearly always moves last (priority −5)."
"Court Change",NORMAL,STATUS,n/a,100%,10-16,"Switches the Mist, Light Screen, Reflect, Spikes, Safeguard, Tailwind, Toxic Spikes, Stealth Rock, Water Pledge, Fire Pledge, Grass Pledge, Sticky Web, Aurora Veil, G-Max Steelsurge, G-Max Cannonade, G-Max Vine Lash, and G-Max Wildfire effects from the user's side to the opposing side and vice versa."
"Covet",NORMAL,PHYSICAL,60,100%,25-40,"If this attack was successful and the user has not fainted, it steals the target's held item if the user is not holding one. The target's item is not stolen if it is a Mail or Z-Crystal, or if the target is a Kyogre holding a Blue Orb, a Groudon holding a Red Orb, a Giratina holding a Griseous Orb, an Arceus holding a Plate, a Genesect holding a Drive, a Silvally holding a Memory, or a Pokemon that can Mega Evolve holding the Mega Stone for its species. Items lost to this move cannot be regained with Recycle or the Harvest Ability."
"Crabhammer",WATER,PHYSICAL,100,90%,10-16,"Has a higher chance for a critical hit."
"Crafty Shield",FAIRY,STATUS,n/a,—,10-16,"Nearly always moves first (priority +3)."
"Cross Chop",FIGHTING,PHYSICAL,100,80%,5-8,"Has a higher chance for a critical hit."
"Cross Poison",POISON,PHYSICAL,70,100%,20-32,"Has a 10% chance to poison the target and a higher chance for a critical hit."
"Crunch",DARK,PHYSICAL,80,100%,15-24,"Has a 20% chance to lower the target's Defense by 1 stage."
"Crush Claw",NORMAL,PHYSICAL,75,95%,10-16,"Has a 50% chance to lower the target's Defense by 1 stage."
"Crush Grip",NORMAL,PHYSICAL,—,100%,5-8,"Power is equal to 120 * (target's current HP / target's maximum HP), rounded half down, but not less than 1."
"Curse",GHOST,STATUS,n/a,—,10-16,"If the user is not a Ghost type, lowers the user's Speed by 1 stage and raises the user's Attack and Defense by 1 stage. If the user is a Ghost type, the user loses 1/2 of its maximum HP, rounded down and even if it would cause fainting, in exchange for the target losing 1/4 of its maximum HP, rounded down, at the end of each turn while it is active. If the target uses Baton Pass, the replacement will continue to be affected. Fails if there is no target or if the target is already affected."
"Cut",NORMAL,PHYSICAL,50,95%,30-48,"No additional effect."
"Darkest Lariat",DARK,PHYSICAL,85,100%,10-16,"Ignores the target's stat stage changes, including evasiveness."
"Dark Pulse",DARK,SPECIAL,80,100%,15-24,"Has a 20% chance to make the target flinch."
"Dark Void",DARK,STATUS,n/a,50%,10-16,"Causes the target to fall asleep. This move cannot be used successfully unless the user's current form, while considering Transform, is Darkrai."
"Dazzling Gleam",FAIRY,SPECIAL,80,100%,10-16,"No additional effect."
"Decorate",FAIRY,STATUS,n/a,—,15-24,"Raises the target's Attack and Special Attack by 2 stages."
"Defend Order",BUG,STATUS,n/a,—,10-16,"Raises the user's Defense and Special Defense by 1 stage."
"Defense Curl",NORMAL,STATUS,n/a,—,40-64,"Raises the user's Defense by 1 stage. As long as the user remains active, the power of the user's Ice Ball and Rollout will be doubled (this effect is not stackable)."
"Defog",FLYING,STATUS,n/a,—,15-24,"Lowers the target's evasiveness by 1 stage. If this move is successful and whether or not the target's evasiveness was affected, the effects of Reflect, Light Screen, Aurora Veil, Safeguard, Mist, Spikes, Toxic Spikes, Stealth Rock, and Sticky Web end for the target's side, and the effects of Spikes, Toxic Spikes, Stealth Rock, and Sticky Web end for the user's side. Ignores a target's substitute, although a substitute will still block the lowering of evasiveness. If there is a terrain active and this move is successful, the terrain will be cleared."
"Destiny Bond",GHOST,STATUS,n/a,—,5-8,"Until the user's next move, if an opposing Pokemon's attack knocks the user out, that Pokemon faints as well, unless the attack was Doom Desire or Future Sight. Fails if the user used this move successfully as its last move, disregarding moves used through the Dancer Ability."
"Detect",FIGHTING,STATUS,n/a,—,5-8,"Nearly always moves first (priority +4)."
"Devastating Drake",DRAGON,PHYSICAL,1,—,1,"[Z-Move] requiring Dragonium Z"
"Diamond Storm",ROCK,PHYSICAL,100,95%,5-8,"Has a 50% chance to raise the user's Defense by 2 stages."
"Dig",GROUND,PHYSICAL,80,100%,10-16,"This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks other than Earthquake and Magnitude but takes double damage from them, and is also unaffected by weather. If the user is holding a Power Herb, the move completes in one turn."
"Disable",NORMAL,STATUS,n/a,100%,20-32,"For 4 turns, the target's last move used becomes disabled. Fails if one of the target's moves is already disabled, if the target has not made a move, if the target no longer knows the move, or if the move was a Max or G-Max Move."
"Disarming Voice",FAIRY,SPECIAL,40,—,15-24,"This move does not check accuracy."
"Discharge",ELECTRIC,SPECIAL,80,100%,15-24,"Has a 30% chance to paralyze the target."
"Dire Claw",POISON,PHYSICAL,80,100%,15-24,"Has a 50% chance to cause the target to either fall asleep, become poisoned, or become paralyzed."
